app_id,app_name,review_text,review_score,review_votes
211420,DARK SOULS™: Prepare To Die Edition,"Excellent game, especially after resolution/framrate fix. Got me scared, not because it's terrifying (it has its moments, though) but because it's friggin' hard. Seriously. It's a game that takes time to learn and rewards patience and perseverance.  Controller fuggin' *required*, though. Don't even bother unless you have that gamepad.",1,0
416130,Written in the Sky,"Not a bad story after all. Music is really bad, but you can always turn it off. Solid 7/5/10 for being free.  Alright, after completing this, I can give it a solid 8/10 for story not ending immediatly after yuri action.  And I won't have to censor much if I'll record this. YAY!",1,0
305620,The Long Dark, Early Access Review,1,0
242920,Banished,"it is a rather good game which requires alittle micromanagement, but soon becomes boring for me due to lack of advancement / development.",1,0
274250,OlliOlli,"Fun game that is frustratingly difficult at times, but very rewarding when you finally beat/perfect the level you have been working on. The controls are probably not what you would expect, but once you get the hang of it pretty fun and intuitive. A few bucks well spent.",1,0
362490,Exanima, Early Access Review,1,1
301640,Zombie Army Trilogy,"Awsome,awsome game...",1,0
281610,Homeworld: Deserts of Kharak,"A prequel to my favourite game of all time. And it delivered.   Classic RTS with some very cool modernising twists, like much more involved line of sight and height difference mechanics.",1,0
214950,Total War: ROME II - Emperor Edition,Best total war to date,1,0
312990,The Expendabros,If anyone rates this game badly i will DESTROY THEM WITH THE POWER OF 'MURICA  SHOCKIN AWESOME,1,0
252690,Fantasy Grounds Classic,"Very good Virtual Table Top.  Pros: - Highly moddable. But you don't have to. - Automation is powerful, but optional! Makes house rules very compatible. - Actually, it's just plain powerful all around. - Does everything you can do on a real tabletop, and then some (fog of war, for example!)  Cons: - Confusing DLC structure. - It needs to be more clear that you don't get anything beyond bare basic DnD rules and a few other generic things, and you have to buy the rest. - Only host can be GM. Even with ultimate... this was nearly the dealbreaker for me, but I do like DM :D - Steep learning curve, but this is to be expected.  Additonal notes: A new edition is coming this year, providing line of sight, dynamic lighting, 3D maps (and maybe tokens). They said they will charge for the upgrade, but they intend it to be only a few dollars for those that bought it recently. Might change of course, but if the new version kicks as much ♥♥♥ as FG in its current state, it will be worth!",1,0
211420,DARK SOULS™: Prepare To Die Edition,"If you like a game thats fun holds your hand and lets you win, this is not the game for you.",1,0
22380,Fallout: New Vegas,"Sorry to all the FONV Fans, but i genuinely dont like this game and the series, just not my cup of tea, although the guns in this game are great and all, straight off the bat you have an introduction and a character creator ( what did you expect? ) but 3 hours into the game im confused and didnt know what to do, ( the other 3 i had a epileptic seizure ikr it sucks ) I'm sorry but I like the concept of this game, being apocolyptic and ♥♥♥♥ but I don't like it. Please don't downvote this because I gave my opinion on a game, Actually read.",-1,0
233980,Unepic,"I absolutely love the style and depth of this game. I find that after every room that I clear, that I have the urge to clear the next room, and the next. This game will keep your attention! The multiplayer is fantastic, especially if you have friends to conquer dungeons with you.   10/10  I can't wait for their new game coming out this July!",1,0
256190,Enemy Front,"Here are, in my opinion, the scores for this game: Gameplay ------ 6/10 Story------------ 5/10 Graphics -------- 8/10 Sound/Music----- 7/10 Overall ----------- 6,5  Conclusion: Enemy Front is an FPS set in WW2 period with very nice graphics but poor storyline, physics and AI. Has easy achievements to unlock meanwhile multiplayer is almost inexistent and very slow-paced, so try to avoid it. In overall it's surprisingly good, better than I expected from an indie game.",1,0
350660,Alganon,Better than Dank Souls 10/10 IGN,1,1
218620,PAYDAY 2,"It is a great game but you need to play it for at least 10 hours in order to really get into the games main features like weapon mods and perk decks and skill trees once you get past level 50 then you will get into the meat of the game but other than that the game is good. good A.I, fun game to play with friends DONT PLAY OFFLINE the A.I sucks. Remember teamwork is essential.",1,0
570,Dota 2,If wanna learn ruski lang then install it,1,0
398710,Timberman,"Childish and fun Its a very cute game honestly, I rage quitted back then but I think most people will like it, furthermore Its not very expensive, pretty affordable so price is not an option here SO.. THumBS uP",1,0
238430,Contagion,"All I get when I try to join a game is a freeze, CTD, Steam closing by istelf, and a blue desktop background. The Good thing is that the devs seem to care and are in contact with they customers.",1,0
235540,Warhammer: End Times - Vermintide,Its a great game.  Just gets boring quick.,1,0
331710,,"A friend of mine gave me this game as a gift, im gonna sue him.",-1,1
376570,WildStar,"I downloaded this game just to mentioned this but ever since this game has been put on steam, I can't log into it from its original launcher at all and i even tried this steam version too, nothing.   I needed to verify my IP cause I played this game different IP before so you get the code from your mail of your account and enter on the site and confirm, done this before many times its worked fine,but since this game has been on steam.....whatever code you get doesn't work period. I've even copied and pasted in into the code verification and it -still- didn't work. When I doesn't accept a copy and paste then you really know is wrong with NCsoft's site itself. I submited a ticket for this issue and the link took to google search for some  reason....wth?   Honestly it seems best to just make a new account from scratch and never ever change IPs ever again as its clearly working for others playing this game on steam and even using their account before hand.   I still recommend the game itself as its great but damn NCsoft site for this bullsh*t locking my account out.",1,1
371660,Far Cry Primal,"This game is amazing. Enough said, but I will say more. I like this game because it puts a new twist on the game mechanics. Instead of guns there are mele weapons and bows. All of which are throwable except bows but they are ranged allredy. There are people who say this game is a new skin of Far Cry 4 and, it is. But there is much more fun to be had in this land of warring tribes. I personaly like the caves they are a neat puzzel. Well that is all I will say. I'll leave this here and let whoever finds it be the judge.",1,0
218620,PAYDAY 2,Why don't they replace their ♥♥♥♥♥♥♥ faulty drill!?!?,-1,0
258970,Gauntlet™ ,"Good experience, close to the original arcade game.",1,0
105600,Terraria,I start playing the game. I turn off computer. I'm thinking how to get more NPCs. I wake up the next morning and start playing. I tell me friends about it. They tell me MC is better. I flip the table on them. I start playing Hardcore mode. I get cool stuff. I let my little bro play. He gets killed. I flip the table again. I stay in my room for a few hours. Then I open my computer. And I start playing Terraria.  11/10 would flip the table again.,1,1
319510,Five Nights at Freddy's,"Amazing, just amazing. When I got this game I thought it was going to get less creepy and less scary, but the truth of the matter is that I still jump every time Bonnie/Chica/Foxy/Freddy jumps at me! The atmosphere is so creepy that I can play at noon with all lights on and the windows open and still scream when I'm caught. Amazing game. Love every moment. 10/10",1,0
393380,Squad, Early Access Review,1,0
105600,Terraria,"This game is the most ballin' game for adventure. Want to make a freaking tower? Build it. Want to fight a big-♥♥♥ army of goblins while protecting your home. Check. This game is basically a two-demensional Minecraft on steroids. Fight bosses, gain magical weapons, incredible armor and have an awesome time playing this game.",1,0
214360,Tower Wars,Send ♥♥♥♥ with more ♥♥♥♥ with some added ♥♥♥♥.,1,0
293780,Crawl, Early Access Review,1,0
231430,Company of Heroes 2,For The Motherland!,1,0
10500,Total War: EMPIRE - Definitive Edition,A decent game with many flaws. Install a overhaul mod to get past some of the flaws and bear with the rest. You'll find yourself with hours of fun.,1,0
400,Portal,I have always enjoyed this game and especially the test chambers Love it!,1,0
208580,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,An older game so don't expect awesome graphics and the latest RPG elements but at its heart is a strong story and gameplay is still very good. Do recommend the TSLRCM mod which is found in the Steam Workshop for best effect.,1,0
45760,Ultra Street Fighter IV,why the ♥♥♥♥ not play this game,1,0
307780,Mortal Kombat X,"Not giving full content for season pass holders on PC, and refusing to release the XL bundle for PC. because...........?  This must be illegal, and if it's not. what a great way to treat you costumers and pc users, WB after the ♥♥♥♥ you tried to pull with arkham knight, and now this. I'm seriously done with WB and MK. I will never buy another product from them.  I don't care if their next game is shadow of mordor 2 or DC mascot Arkham cashgrab. even if those games pc ports are fantastic. it still wont matter, the bridge is burned.",-1,0
49520,Borderlands 2,"The humor seems great at first, but it begins to fall flat once you start to recognize the pattern of it all. It becomes predictable and boring. The story isn't anything to write home about either,",-1,0
227940,Heroes & Generals, Early Access Review,1,0
252490,Rust, Early Access Review,1,0
307880,Savage Lands, Early Access Review,1,1
220700,RPG Maker VX Ace,If you want to get all of the initial setup for making an RPG out of the way then this is for you. Ruby scripting is a bit meh but overall this is pretty okay.,1,0
362620,Software Inc., Early Access Review,1,0
359140,Kick Ass Commandos,"  Join Chaser as he reviews Kick ♥♥♥ Commandos,           YouTube™ Video:  Kick ♥♥♥ Commondos&nbsp;",1,0
328830,Rugby Union Team Manager 2015,"Love the game. I've figured out how to do so many things, have signed some great players, coaches, physios etc.  Positives: Very accurate database for the players. The game is fun and I feel like I can play it for ages.  Negatives: I can't seem to win a game, my team always fades away in the second half, even with a 5* fitness coach. The tactics are quite complicated to understand at first.  All in all though, this is a fantastic game imo, apart from those few negatives. I would probably give it around a 7.5/10",1,0
314660,Oddworld: New 'n' Tasty,"Oh, just as incredible as was the first game! Just as what I needed!",1,0
4000,Garry's Mod,top kek this game makes me want to die in the best way possible ,1,0
61600,Zen Bound® 2,"This game is awesome, It's music gave me liquid diarrhea. A++, would recommend again.",1,0
385330,Stray Cat Crossing,"I dont need much more to tell... trailer made me hyped and curious about soo delivered enigmatic and mystic mood soo did the game after buying, phenomenal story with a lot of thinking to it. No clear answer is given the whole time yet enough for making you come back. One day...",1,0
364360,Total War: WARHAMMER,"  Pros       Warhammer    Great graphics    Enjoyable arcade game    Cons       Not a TW game    Lack of formations/unit abilities    Blood and Gore DLC looks tacky af   I   LOVE   how the majority of negative reviews on here are due to CA's DLC policy. DLC is    OPTIONAl    and isn't needed in order to enjoy the game. You can sink countless hours into the Total War franchise so if you enjoy them and want the dlc, then buy it. If not then don't. Just don't boycott games because you're salty about content you want but refuse to pay for.  ",1,0
104900,ORION: Prelude,"Got lots of hours killing dino basterds great price, and playablity buy the four pack.",1,0
440730,Survival Zombies The Inverted Evolution, Early Access Review,1,0
203770,Crusader Kings II,"Crusader King's 2 is one of the funniest and nerve-wracking games I have ever played. However, you should still wait until the steam sale to buy it. Having all the DLC changes the game a lot but still, wait until steam sale to pick them up.",1,0
366160,,"A little on the grindy side, but overall a really fun, competent 3rd person shooter. Recommended if you like Gears of War, and ZMR. It is a bit on the pricey side but I've had a lot of fun with it so far.",1,0
261680,Journal,so ok its good to play through once but that acheivement settled accounts was a ♥♥♥♥ take to get i spent ages and many re runs just to get that dam one. Ill be happy if i never have to play this game again lol. it has zero re playability butttt still good for a first run through,1,1
235980,Tetrobot and Co.,A great puzzle game! You feel like a genius half the time and a bumbling fool for not seeing the obvious solution the other half. Now with Steam Workshop support and community levels.  Worth it at full price and a absolute steal when on sale.,1,1
204360,Castle Crashers,It's ok. Gets pretty boring tho,-1,0
354400,Tadpole Treble, Early Access Review,1,1
